Crop_Type,Moisture_Requirement_Percent,Temperature_Celsius,Nitrogen_Content_kg_per_hectare,Phosphorus_Content_kg_per_hectare,Potassium_Content_kg_per_hectare,Soil_pH,Rainfall_mm,Crop_Cycle_Duration_Days,Crop_Failure_Risk,IR_Radiation_W_m2,NDVI,Chlorophyll_Content_mg_cm2
Wheat,50.13980591998787,23.35719112783933,168.42970337133272,46.89535095363446,66.58763695330812,6.182713053298243,483.05660606202605,133.47882809713943,0,738.3703404774323,0.7662726946139012,28.960342054429166
Pulses,31.945116327740138,27.80736993913889,32.303951104469135,26.821563448451542,29.916876142786062,6.3712223761922955,501.74954871238106,97.40445061914969,0,490.7726794292012,0.7559068697769631,21.647453884887803
Sugarcane,66.10756712041426,37.46651361334517,211.7098360497591,69.89817022373926,137.4367867146366,7.40682299383767,1051.7254291469212,318.0455267688163,0,701.1051697518078,0.873340171295593,38.561652595509194
Millets,58.90507428730672,28.039627108580238,43.0810520837866,18.01679325270843,35.94992751735123,5.675125787158466,332.22538461210866,76.85870161327341,0,613.2508249335646,0.6927122097569849,22.69501613600668
Millets,27.456105882242273,33.386925364556696,32.935151383490904,16.156473476483985,39.29919894347056,6.228574431626731,331.4971419928819,85.02682084104723,0,629.3025416117948,0.7499204706577524,26.27579734036859
Millets,29.0143091304029,29.910365838009838,39.93516118930103,15.380969821095917,38.75643703862906,7.341382548182829,491.8273281246736,88.4019793458441,1,643.6277129788868,0.6128722559858386,27.131576052374932
Pulses,57.850977765287965,21.574744384216398,21.01513070069227,22.228168063070726,22.454633735710836,7.175997322300753,541.5076073505315,83.84331350388635,0,634.6349055512152,0.6113261008832375,22.238459630099175
Wheat,59.15830100514938,15.012263135274567,173.6255470604525,41.504022876122974,50.47927033909896,6.47217592717838,635.7958068853509,139.19629725266157,0,652.8705938518975,0.6153371251353802,26.051468172853642
Millets,45.589435720591744,26.672023817073182,37.719547899850134,23.560066279462642,31.939308777557915,6.456055088856367,347.07087361248784,72.36416562531268,0,441.8277602922011,0.6694269576056202,29.122063009985787
Wheat,58.14225623353059,24.337461663107714,147.89823977515363,47.351262745520096,69.54883679042092,6.568498494922312,544.5286632682112,145.47801101429536,0,584.6721827983789,0.7910991040259572,30.138217703791756
Rice,45.6650503910908,24.327859664500803,113.0423221798816,23.168312573440133,54.44768034737781,5.884966790391982,1919.3668657573066,132.04551848470305,0,845.9906236101936,0.7543627872257176,27.315761230611823
Wheat,55.395632623446225,17.32199944289231,170.6996863881447,49.45825370711652,58.51907315553242,6.586304372379939,641.2196353475001,131.19210251987224,1,550.0583050638642,0.6906304672668615,34.17233293316687
Rice,54.74623386649346,28.922706176300906,105.87580478071504,23.762198230625284,59.82819815915798,6.322707643524022,1193.1360585830787,147.5923448647457,0,760.5578633622956,0.6886901818538865,30.22871122751834
Sugarcane,69.61516554260595,32.857657851740186,268.1477660481037,59.774239555099555,145.5633748523402,7.367832804076737,2071.6395364838318,340.99884228264705,0,756.6909499066971,0.8209639589075673,36.96969280900531
Wheat,58.573108599460134,22.1950238275959,121.43758569874868,48.24697106889944,66.59670963588184,6.406065706670204,645.6991262220242,127.30815548219508,0,761.8803515582272,0.6573778720555918,29.61640281415671
Millets,50.4794594340091,24.843625621705236,34.7264201023417,20.675152475598505,35.90374719458708,7.024266660966734,352.1950831561959,73.69562947085294,0,435.16301529891143,0.7315454836901282,20.11237775185797
Wheat,62.275932086873866,23.17389378142382,125.19944559221322,44.588705044130975,53.98234662707278,6.353017669829403,503.07686073066833,144.40253296062258,1,705.2818945240796,0.729920268867426,34.14132267854092
Millets,56.14366720952121,24.078567429295425,32.471123372423,23.911267567595054,37.456486723143485,5.539376699593957,425.03135246951683,71.54634145631329,1,588.3547164480237,0.6495824624657964,21.699727319255523
Wheat,61.392052193914466,18.556549575222455,139.69314705888772,46.96466934383097,58.88142896632771,6.846407313988781,540.1077429961778,132.399109867469,1,578.3236686419938,0.7614487697988328,26.14758842343161
Wheat,60.374556230752624,16.834528372832715,150.52649341085095,48.73445297620084,60.8111630528118,6.687244064198952,584.0151536413315,130.36232924266648,0,756.6811975980659,0.6876191309638926,26.261361610472687
